Page URL,Structured data,Field,Issue description,Discovered
https://siteoptz.ai/reviews/ai-drive,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-homedesign,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-homedesign,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-intime,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-intime,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-renamer,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-renamer,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-studios,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-studios,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-video-translator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/ai-video-translator,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aicosts-ai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aicosts-ai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aimdoc,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aimdoc,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/airops,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/airops,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aisoap,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aisoap,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/alliai,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/alliai,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/alpha-sense,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/alpha-sense,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/altavize,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/altavize,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amazon-alexa,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amazon-alexa,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amazon-codewhisperer,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amazon-codewhisperer,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amplifa,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/amplifa,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anchor-browser,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anchor-browser,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/answerly,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/answerly,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anthropic-chatgpt-alternative,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anthropic-chatgpt-alternative,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anthropic-claude,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anthropic-claude,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anything,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/anything,Software App,offers,A value for the offers field is required.,13 Sep 2025 (14:36 UTC)
https://siteoptz.ai/reviews/aphra,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,13 Sep 2025 (14:36 UTC)
